WARNING (theano.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
pybullet build time: Oct 11 2021 20:59:39
num of nodes = 1500 and num of edges = 2568
num of nodes = 1500 and num of edges = 2568
num of nodes = 1500 and num of edges = 2568
num of nodes = 1500 and num of edges = 2568
train epoch=0, loader_type='Both', approx_losses.avg=0.00014899110006346805, constraint_losses.avg=5.665329160824296e-05
------------------------- test Main, avg_test_AL=0.00012789171595357595, avg_test_CL=0.00010437456046702964, max_test_CL=0.0051413653418421745
------------------------- test un normalized Main, avg_test_AL_un_norm=9.319532906841616, avg_test_CL_un_norm=7.605826077432273, max_test_CL_un_norm=374.65384794862103
------------------------- test Omega, avg_test_AL=0, avg_test_CL=8.333541293757741e-06, max_test_CL=5.566446634475142e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.607269295535248, max_test_CL_un_norm=4.05629742386772
train epoch=1, loader_type='Both', approx_losses.avg=0.00014968348943257873, constraint_losses.avg=5.731362370057641e-05
------------------------- test Main, avg_test_AL=0.00012864751398140495, avg_test_CL=0.00010452848104978373, max_test_CL=0.005146709270775318
------------------------- test un normalized Main, avg_test_AL_un_norm=9.3746082504384, avg_test_CL_un_norm=7.617042359080326, max_test_CL_un_norm=375.0432460985975
------------------------- test Omega, avg_test_AL=0, avg_test_CL=9.220095330765954e-06, max_test_CL=5.9125748521182686e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.6718729286899523, max_test_CL_un_norm=4.308522764137374
train epoch=2, loader_type='Both', approx_losses.avg=0.00014550602803582377, constraint_losses.avg=5.648370204116439e-05
------------------------- test Main, avg_test_AL=0.00012875368655720364, avg_test_CL=0.00010450131915435313, max_test_CL=0.005164992529898882
------------------------- test un normalized Main, avg_test_AL_un_norm=9.382345130400576, avg_test_CL_un_norm=7.615063060896142, max_test_CL_un_norm=376.3755800069674
------------------------- test Omega, avg_test_AL=0, avg_test_CL=9.751538331146837e-06, max_test_CL=6.116327858762816e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.7105994433829694, max_test_CL_un_norm=4.456998626742821
train epoch=3, loader_type='Both', approx_losses.avg=0.00014293891233763942, constraint_losses.avg=5.7191367355814674e-05
------------------------- test Main, avg_test_AL=0.00012890173304019425, avg_test_CL=0.000104367759555259, max_test_CL=0.0051636649295687675
------------------------- test un normalized Main, avg_test_AL_un_norm=9.393133339706491, avg_test_CL_un_norm=7.605330511438425, max_test_CL_un_norm=376.27881898049645
------------------------- test Omega, avg_test_AL=0, avg_test_CL=9.953234697506197e-06, max_test_CL=6.19376587565057e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.7252971577774062, max_test_CL_un_norm=4.513428062352202
train epoch=4, loader_type='Both', approx_losses.avg=0.00014218645978147083, constraint_losses.avg=5.742254887457146e-05
------------------------- test Main, avg_test_AL=0.00012918883377833313, avg_test_CL=0.00010412066746292315, max_test_CL=0.005147983320057392
------------------------- test un normalized Main, avg_test_AL_un_norm=9.41405450269173, avg_test_CL_un_norm=7.587324767112256, max_test_CL_un_norm=375.13610847407017
------------------------- test Omega, avg_test_AL=0, avg_test_CL=1.0042949243926902e-05, max_test_CL=6.229515565792099e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.731834702170862, max_test_CL_un_norm=4.539478750739891
train epoch=5, loader_type='Both', approx_losses.avg=0.00014180400626274706, constraint_losses.avg=5.758936464507503e-05
------------------------- test Main, avg_test_AL=0.00012960824048367269, avg_test_CL=0.00010378465888717958, max_test_CL=0.005118261091411114
------------------------- test un normalized Main, avg_test_AL_un_norm=9.444616883400633, avg_test_CL_un_norm=7.562839682888147, max_test_CL_un_norm=372.9702432537246
------------------------- test Omega, avg_test_AL=0, avg_test_CL=1.0036896354917779e-05, max_test_CL=6.230456347111613e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.7313936252473032, max_test_CL_un_norm=4.540164405281998
train epoch=6, loader_type='Both', approx_losses.avg=0.00014151491175162225, constraint_losses.avg=5.7609114286837186e-05
------------------------- test Main, avg_test_AL=0.00012964650434517467, avg_test_CL=0.00010373207826085728, max_test_CL=0.005117945838719606
------------------------- test un normalized Main, avg_test_AL_un_norm=9.447405189580865, avg_test_CL_un_norm=7.559008055027907, max_test_CL_un_norm=372.94724906521975
------------------------- test Omega, avg_test_AL=0, avg_test_CL=1.0093781154127512e-05, max_test_CL=6.252305320231244e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.735538846742577, max_test_CL_un_norm=4.556086125667615
train epoch=7, loader_type='Both', approx_losses.avg=0.00014130678503011403, constraint_losses.avg=5.772722347908365e-05
------------------------- test Main, avg_test_AL=0.00012976061180577724, avg_test_CL=0.00010366019929362302, max_test_CL=0.005112131126224995
------------------------- test un normalized Main, avg_test_AL_un_norm=9.455720257459035, avg_test_CL_un_norm=7.553770256175499, max_test_CL_un_norm=372.52353718707485
------------------------- test Omega, avg_test_AL=0, avg_test_CL=1.0106249679898482e-05, max_test_CL=6.257349741645157e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.7364474364106672, max_test_CL_un_norm=4.559761683611198
