WARNING (theano.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
pybullet build time: Oct 11 2021 20:59:39
train epoch=0, loader_type='Both', approx_losses.avg=0.01237447624731188, constraint_losses.avg=0.008163241700284065
------------------------- test Main, avg_test_AL=0.0008433679771395055, avg_test_CL=0.0007479187873501818, max_test_CL=0.005394280888140202
------------------------- test un normalized Main, avg_test_AL_un_norm=61.45664359410177, avg_test_CL_un_norm=54.50121366935666, max_test_CL_un_norm=393.0839161825957
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0002962357388366965, max_test_CL=0.0015783602138981223
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=21.586845504366963, max_test_CL_un_norm=115.01589356628813
train epoch=1, loader_type='Both', approx_losses.avg=0.0027788329589899467, constraint_losses.avg=0.0018856746773826816
------------------------- test Main, avg_test_AL=0.00010191543160062899, avg_test_CL=7.150937112432842e-05, max_test_CL=0.0016833916306495667
------------------------- test un normalized Main, avg_test_AL_un_norm=7.426628143897794, avg_test_CL_un_norm=5.21092340240623, max_test_CL_un_norm=122.66958101093759
------------------------- test Omega, avg_test_AL=0, avg_test_CL=4.072167814347338e-05, max_test_CL=0.0003335125802550465
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=2.9674089207037, max_test_CL_un_norm=24.3032272248484
train epoch=2, loader_type='Both', approx_losses.avg=0.0022371561800338374, constraint_losses.avg=0.00149182950998176
------------------------- test Main, avg_test_AL=5.925577017735195e-05, avg_test_CL=7.737767054009837e-05, max_test_CL=0.0006869177450425923
------------------------- test un normalized Main, avg_test_AL_un_norm=4.317997417794682, avg_test_CL_un_norm=5.638549297786051, max_test_CL_un_norm=50.056038555560434
------------------------- test Omega, avg_test_AL=0, avg_test_CL=9.374979922335403e-05, max_test_CL=0.00044234274537302554
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=6.831594456489385, max_test_CL_un_norm=32.233736015093235
train epoch=3, loader_type='Both', approx_losses.avg=0.002040100450195337, constraint_losses.avg=0.0013609277103700267
------------------------- test Main, avg_test_AL=0.00029415513492880765, avg_test_CL=0.0004913771395069855, max_test_CL=0.0013900668127462268
------------------------- test un normalized Main, avg_test_AL_un_norm=21.43523086407709, avg_test_CL_un_norm=35.806896337992264, max_test_CL_un_norm=101.29485719199447
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00040914673866700467, max_test_CL=0.0008376473560929298
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=29.81472614064406, max_test_CL_un_norm=61.03977860217231
train epoch=4, loader_type='Both', approx_losses.avg=0.0015744273275964328, constraint_losses.avg=0.0010400681106395842
------------------------- test Main, avg_test_AL=0.0003771997434640646, avg_test_CL=0.0005882651239420689, max_test_CL=0.0018014265224337578
