WARNING (theano.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
pybullet build time: Oct 11 2021 20:59:39
num of nodes = 1000 and num of edges = 1817
num of nodes = 1000 and num of edges = 1817
num of nodes = 1000 and num of edges = 1817
num of nodes = 1000 and num of edges = 1817
train epoch=0, loader_type='Both', approx_losses.avg=0.00016511441698313566, constraint_losses.avg=6.790713376979092e-05
------------------------- test Main, avg_test_AL=0.00013045774370713526, avg_test_CL=0.00010441224926819536, max_test_CL=0.006063970737159252
------------------------- test un normalized Main, avg_test_AL_un_norm=9.506520590938015, avg_test_CL_un_norm=7.608572487730859, max_test_CL_un_norm=441.88456094683977
------------------------- test Omega, avg_test_AL=0, avg_test_CL=9.353358649320408e-06, max_test_CL=6.627703260164708e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.6815838929949941, max_test_CL_un_norm=4.829640153112066
train epoch=1, loader_type='Both', approx_losses.avg=0.00016091526035285955, constraint_losses.avg=6.92759748471583e-05
------------------------- test Main, avg_test_AL=0.00014336285242697234, avg_test_CL=0.00010170786258049924, max_test_CL=0.005308232735842466
------------------------- test un normalized Main, avg_test_AL_un_norm=10.446922307798767, avg_test_CL_un_norm=7.411502488211347, max_test_CL_un_norm=386.8135436148712
------------------------- test Omega, avg_test_AL=0, avg_test_CL=9.050421067517079e-06, max_test_CL=6.542430492118001e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.6595086803084019, max_test_CL_un_norm=4.767501482132692
train epoch=2, loader_type='Both', approx_losses.avg=0.00016007181523009276, constraint_losses.avg=6.700907078375744e-05
------------------------- test Main, avg_test_AL=0.00013071288808886995, avg_test_CL=0.00010413187602418006, max_test_CL=0.0059549626894295216
------------------------- test un normalized Main, avg_test_AL_un_norm=9.525113111852384, avg_test_CL_un_norm=7.588141556846127, max_test_CL_un_norm=433.9410939255256
------------------------- test Omega, avg_test_AL=0, avg_test_CL=1.068634123476464e-05, max_test_CL=7.191212353063747e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.7787189946192226, max_test_CL_un_norm=5.240272424880453
train epoch=3, loader_type='Both', approx_losses.avg=0.00015733015722371564, constraint_losses.avg=6.818010020975231e-05
------------------------- test Main, avg_test_AL=0.0001300892501716806, avg_test_CL=0.00010442294258715812, max_test_CL=0.0059808772057294846
------------------------- test un normalized Main, avg_test_AL_un_norm=9.479668294779707, avg_test_CL_un_norm=7.609351719762921, max_test_CL_un_norm=435.82950773138606
------------------------- test Omega, avg_test_AL=0, avg_test_CL=1.1064301076716187e-05, max_test_CL=7.343698962358758e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.8062611184290126, max_test_CL_un_norm=5.351390077663136
train epoch=4, loader_type='Both', approx_losses.avg=0.00015638543572877385, constraint_losses.avg=6.837593064789423e-05
------------------------- test Main, avg_test_AL=0.00012953835232982057, avg_test_CL=0.00010477182001090579, max_test_CL=0.0059964400716125965
------------------------- test un normalized Main, avg_test_AL_un_norm=9.439524083897712, avg_test_CL_un_norm=7.634774599960453, max_test_CL_un_norm=436.96358229062616
------------------------- test Omega, avg_test_AL=0, avg_test_CL=1.1327530922850216e-05, max_test_CL=7.446828385582194e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.8254428062722808, max_test_CL_un_norm=5.4265409469885455
train epoch=5, loader_type='Both', approx_losses.avg=0.0001558915983759872, constraint_losses.avg=6.844304035609913e-05
------------------------- test Main, avg_test_AL=0.00012911862849792, avg_test_CL=0.00010512567797183791, max_test_CL=0.005996948108077049
------------------------- test un normalized Main, avg_test_AL_un_norm=9.408938629924373, avg_test_CL_un_norm=7.660560396312387, max_test_CL_un_norm=437.00058047984203
------------------------- test Omega, avg_test_AL=0, avg_test_CL=1.1534814512919934e-05, max_test_CL=7.525112596340477e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.8405476643026059, max_test_CL_un_norm=5.483587076363811
train epoch=6, loader_type='Both', approx_losses.avg=0.00015518257193893772, constraint_losses.avg=6.88783058772854e-05
------------------------- test Main, avg_test_AL=0.00012928487583916448, avg_test_CL=0.00010516825673210661, max_test_CL=0.005971790757030249
------------------------- test un normalized Main, avg_test_AL_un_norm=9.421053152047229, avg_test_CL_un_norm=7.663663108359007, max_test_CL_un_norm=435.1673580915899
------------------------- test Omega, avg_test_AL=0, avg_test_CL=1.15078664831052e-05, max_test_CL=7.508059934480116e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.8385839479223789, max_test_CL_un_norm=5.4711603702769995
train epoch=7, loader_type='Both', approx_losses.avg=0.00015543929013259162, constraint_losses.avg=6.86966298256136e-05
------------------------- test Main, avg_test_AL=0.00012897736818873274, avg_test_CL=0.00010530303716015599, max_test_CL=0.00599057087674737
------------------------- test un normalized Main, avg_test_AL_un_norm=9.398644913455973, avg_test_CL_un_norm=7.673484605577219, max_test_CL_un_norm=436.5358624594824
------------------------- test Omega, avg_test_AL=0, avg_test_CL=1.1541043552894869e-05, max_test_CL=7.520718645537272e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.8410015775823393, max_test_CL_un_norm=5.4803849102936555
train epoch=8, loader_type='Both', approx_losses.avg=0.00015474463878744577, constraint_losses.avg=6.89577842334522e-05
------------------------- test Main, avg_test_AL=0.00012962205200167177, avg_test_CL=0.00010530856758967655, max_test_CL=0.00590741541236639
------------------------- test un normalized Main, avg_test_AL_un_norm=9.44562332795903, avg_test_CL_un_norm=7.673887652153248, max_test_CL_un_norm=430.4762972484978
